> [{cost: 132, cost_one: 3, cost_two: 1}]
> [{cost: -25, cost_one: 1, cost_two: 4}]
> [{cost: -25, cost_one: 1, cost_two: 4}]
> [{cost: -25, cost_one: 3, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 5}]
> [{cost: -25, cost_one: 2, cost_two: 5}]
> [{cost: -25, cost_one: 3, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 5}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 1, cost_two: 2}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 2}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 4, cost_two: 2}]
> [{cost: -27, cost_one: 1, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 2}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 1, cost_two: 2}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 1, cost_two: 5}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 1, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 1, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 1, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 2}]
> [{cost: -27, cost_one: 2, cost_two: 5}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 5}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 5}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 2}]
> [{cost: -27, cost_one: 2, cost_two: 5}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 2}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 3, cost_two: 5}]
> [{cost: -27, cost_one: 3, cost_two: 4}]
> [{cost: -27, cost_one: 1, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 2}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 1, cost_two: 4}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 4, cost_two: 5}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 5}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 5}]
> [{cost: -27, cost_one: 3, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 6}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 1, cost_two: 2}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 3, cost_two: 5}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 1, cost_two: 4}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 5}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 1, cost_two: 2}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 3, cost_two: 5}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 3, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 2}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 1, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 6}]
> [{cost: -27, cost_one: 3, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 3, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 1, cost_two: 2}]
> [{cost: -27, cost_one: 1, cost_two: 1}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 1, cost_two: 2}]
> [{cost: -27, cost_one: 1, cost_two: 2}]
> [{cost: -27, cost_one: 1, cost_two: 2}]
> [{cost: -27, cost_one: 4, cost_two: 5}]
> [{cost: -27, cost_one: 3, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 5}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 3, cost_two: 4}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 6}]
> [{cost: -27, cost_one: 3, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 1, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 2}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 5}]
> [{cost: -27, cost_one: 3, cost_two: 4}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 2}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 3, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 5}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 1, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 1, cost_two: 2}]
> [{cost: -27, cost_one: 2, cost_two: 2}]
> [{cost: -27, cost_one: 2, cost_two: 3}]
> [{cost: -27, cost_one: 2, cost_two: 2}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -27, cost_one: 2, cost_two: 4}]
> [{cost: -28, cost_one: 3, cost_two: 2}]
> [{cost: -28, cost_one: 2, cost_two: 3}]
> [{cost: -28, cost_one: 1, cost_two: 2}]
> [{cost: -28, cost_one: 3, cost_two: 4}]
> [{cost: -28, cost_one: 1, cost_two: 5}]
> [{cost: -28, cost_one: 2, cost_two: 2}]
> [{cost: -28, cost_one: 2, cost_two: 3}]
> [{cost: -28, cost_one: 3, cost_two: 6}]
> [{cost: -28, cost_one: 2, cost_two: 6}]
> [{cost: -28, cost_one: 2, cost_two: 4}]
> [{cost: -28, cost_one: 2, cost_two: 3}]
> [{cost: -28, cost_one: 2, cost_two: 3}]
> [{cost: -28, cost_one: 1, cost_two: 5}]
> [{cost: -28, cost_one: 2, cost_two: 3}]
> [{cost: -28, cost_one: 1, cost_two: 3}]
> [{cost: -28, cost_one: 3, cost_two: 4}]
> [{cost: -28, cost_one: 2, cost_two: 3}]
> [{cost: -28, cost_one: 1, cost_two: 3}]
> [{cost: -28, cost_one: 2, cost_two: 5}]
> [{cost: -28, cost_one: 2, cost_two: 5}]
> [{cost: -28, cost_one: 3, cost_two: 4}]
> [{cost: -28, cost_one: 2, cost_two: 7}]
> [{cost: -28, cost_one: 2, cost_two: 4}]
> [{cost: -28, cost_one: 2, cost_two: 3}]
> [{cost: -28, cost_one: 2, cost_two: 3}]
> [{cost: -28, cost_one: 2, cost_two: 3}]
> [{cost: -28, cost_one: 3, cost_two: 3}]
> [{cost: -28, cost_one: 2, cost_two: 4}]
> [{cost: -28, cost_one: 2, cost_two: 3}]
> [{cost: -28, cost_one: 2, cost_two: 3}]
> [{cost: -28, cost_one: 1, cost_two: 3}]
> [{cost: -28, cost_one: 2, cost_two: 3}]
> [{cost: -28, cost_one: 2, cost_two: 4}]
> [{cost: -28, cost_one: 2, cost_two: 6}]
> [{cost: -28, cost_one: 3, cost_two: 3}]
> [{cost: -28, cost_one: 2, cost_two: 3}]
> [{cost: -28, cost_one: 2, cost_two: 3}]
> [{cost: -28, cost_one: 2, cost_two: 4}]
> [{cost: -28, cost_one: 1, cost_two: 2}]
> [{cost: -28, cost_one: 3, cost_two: 4}]
> [{cost: -28, cost_one: 2, cost_two: 3}]
> [{cost: -28, cost_one: 3, cost_two: 5}]
> [{cost: -30, cost_one: 3, cost_two: 1}]
