> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.003460}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003448}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.003436}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.003424}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003413}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003401}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003389}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.003378}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.003367}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.003355}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.003344}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003333}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003322}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003311}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.003300}]
