> [{cost: 74, cost_one: 3, cost_two: 1}]
> [{cost: 74, cost_one: 2, cost_two: 4}]
> [{cost: 74, cost_one: 3, cost_two: 3}]
> [{cost: 74, cost_one: 1, cost_two: 2}]
> [{cost: 74, cost_one: 1, cost_two: 3}]
> [{cost: 74, cost_one: 2, cost_two: 3}]
> [{cost: 74, cost_one: 1, cost_two: 3}]
> [{cost: 74, cost_one: 2, cost_two: 5}]
> [{cost: 74, cost_one: 1, cost_two: 3}]
> [{cost: 73, cost_one: 2, cost_two: 1}]
> [{cost: 73, cost_one: 2, cost_two: 6}]
> [{cost: 73, cost_one: 2, cost_two: 4}]
> [{cost: 73, cost_one: 3, cost_two: 3}]
> [{cost: 72, cost_one: 3, cost_two: 2}]
> [{cost: 72, cost_one: 2, cost_two: 3}]
> [{cost: 72, cost_one: 1, cost_two: 2}]
> [{cost: 71, cost_one: 4, cost_two: 3}]
> [{cost: 71, cost_one: 2, cost_two: 2}]
> [{cost: 71, cost_one: 2, cost_two: 4}]
> [{cost: 71, cost_one: 0, cost_two: 2}]
> [{cost: 71, cost_one: 1, cost_two: 4}]
> [{cost: 71, cost_one: 2, cost_two: 3}]
> [{cost: 71, cost_one: 1, cost_two: 4}]
> [{cost: 71, cost_one: 2, cost_two: 4}]
> [{cost: 71, cost_one: 3, cost_two: 4}]
> [{cost: 71, cost_one: 2, cost_two: 4}]
> [{cost: 71, cost_one: 3, cost_two: 3}]
> [{cost: 71, cost_one: 1, cost_two: 3}]
> [{cost: 71, cost_one: 2, cost_two: 2}]
> [{cost: 70, cost_one: 4, cost_two: 3}]
> [{cost: 70, cost_one: 1, cost_two: 1}]
> [{cost: 70, cost_one: 3, cost_two: 4}]
> [{cost: 70, cost_one: 4, cost_two: 5}]
> [{cost: 70, cost_one: 2, cost_two: 4}]
> [{cost: 69, cost_one: 2, cost_two: 1}]
> [{cost: 69, cost_one: 2, cost_two: 5}]
> [{cost: 69, cost_one: 2, cost_two: 2}]
> [{cost: 69, cost_one: 2, cost_two: 3}]
> [{cost: 69, cost_one: 1, cost_two: 4}]
> [{cost: 69, cost_one: 2, cost_two: 3}]
> [{cost: 69, cost_one: 2, cost_two: 3}]
> [{cost: 69, cost_one: 3, cost_two: 4}]
> [{cost: 69, cost_one: 2, cost_two: 2}]
> [{cost: 69, cost_one: 2, cost_two: 3}]
> [{cost: 69, cost_one: 3, cost_two: 6}]
> [{cost: 69, cost_one: 3, cost_two: 3}]
> [{cost: 69, cost_one: 1, cost_two: 4}]
> [{cost: 69, cost_one: 2, cost_two: 2}]
> [{cost: 69, cost_one: 3, cost_two: 3}]
> [{cost: 69, cost_one: 2, cost_two: 2}]
> [{cost: 68, cost_one: 3, cost_two: 2}]
> [{cost: 68, cost_one: 3, cost_two: 3}]
> [{cost: 68, cost_one: 1, cost_two: 2}]
> [{cost: 68, cost_one: 3, cost_two: 4}]
> [{cost: 68, cost_one: 2, cost_two: 4}]
> [{cost: 68, cost_one: 3, cost_two: 4}]
> [{cost: 68, cost_one: 2, cost_two: 3}]
> [{cost: 68, cost_one: 3, cost_two: 3}]
